Last 4 Card Digits,Recency,Frequency,Monetary,Cluster,Segment,Churn
2757.0,6,1,79.78999999999999,1,New,0
2764.0,34,1,201.04,1,New,0
2765.0,72,1,49.18,0,Lost,1
2766.0,92,1,46.92,0,Lost,1
2769.0,7,1,0.0,1,New,0
2795.0,91,1,187.92000000000002,0,Lost,1
2797.0,27,1,113.55,1,New,0
2809.0,89,1,148.54,0,Lost,1
2810.0,16,2,205.4,1,New,0
2812.0,104,1,89.53,0,Lost,1
2818.0,40,1,54.61,1,New,0
2825.0,5,1,46.989999999999995,1,New,0
2827.0,90,1,93.91,0,Lost,1
2831.0,71,1,56.89,0,Lost,1
2833.0,71,1,106.98,0,Lost,1
2834.0,111,1,173.81,0,Lost,1
2840.0,96,1,49.230000000000004,0,Lost,1
2843.0,50,1,73.12,1,New,0
2844.0,6,1,64.36,1,New,0
2846.0,85,1,205.62,0,Lost,1
2847.0,114,1,14.21,0,Lost,1
2850.0,11,1,93.97999999999999,1,New,0
2851.0,80,1,41.5,0,Lost,1
2854.0,32,1,37.15,1,New,0
2855.0,97,1,37.08,0,Lost,1
2864.0,104,1,0.0,0,Lost,1
2868.0,75,1,77.61,0,Lost,1
2869.0,11,1,81.93,1,New,0
2875.0,5,1,91.66,1,New,0
2877.0,74,1,55.739999999999995,0,Lost,1
2878.0,5,2,174.82,1,New,0
2880.0,75,1,42.66,0,Lost,1
2892.0,12,1,98.21,1,New,0
2905.0,104,1,0.0,0,Lost,1
2907.0,35,1,100.48,1,New,0
2908.0,14,1,64.43,1,New,0
2913.0,66,1,17.5,0,Lost,1
2948.0,97,1,83.0,0,Lost,1
2951.0,14,1,98.32,1,New,0
2953.0,15,1,71.55,1,New,0
2954.0,48,1,90.67,1,New,0
2959.0,104,1,55.67,0,Lost,1
2962.0,75,1,62.239999999999995,0,Lost,1
2963.0,26,1,35.0,1,New,0
2966.0,36,2,285.19,1,New,0
2972.0,41,1,80.84,1,New,0
2973.0,35,1,10.93,1,New,0
2977.0,77,1,198.76,0,Lost,1
2985.0,66,1,70.0,0,Lost,1
2991.0,104,2,184.7,0,Lost,1
2992.0,3,4,273.03,1,New,0
2995.0,69,2,89.53,0,Lost,1
2996.0,13,1,55.67,1,New,0
2997.0,47,3,410.74,3,Occasional,0
2998.0,13,1,93.97999999999999,1,New,0
3000.0,112,1,283.85,0,Lost,1
3001.0,66,3,339.69,0,Lost,1
3002.0,1,4,174.72,1,New,0
3005.0,27,2,302.8,1,New,0
3006.0,111,1,18.53,0,Lost,1
3008.0,15,2,62.24,1,New,0
3009.0,3,3,203.28,1,New,0
3010.0,82,1,37.129999999999995,0,Lost,1
3017.0,73,4,1154.51,3,Occasional,0
3022.0,28,2,228.26,1,New,0
3025.0,16,2,130.97,1,New,0
3027.0,69,2,123.35,0,Lost,1
3031.0,69,1,104.28,0,Lost,1
3035.0,62,1,103.69999999999999,0,Lost,1
3038.0,33,1,133.19,1,New,0
3045.0,20,1,26.25,1,New,0
3049.0,28,3,173.62,1,New,0
3051.0,90,2,475.29,0,Lost,1
3054.0,101,1,79.77,0,Lost,1
3057.0,5,1,51.3,1,New,0
3060.0,105,1,103.74,0,Lost,1
3061.0,22,4,308.51,3,Occasional,0
3063.0,12,1,0.0,1,New,0
3064.0,54,1,50.239999999999995,1,New,0
3066.0,75,2,73.17,0,Lost,1
3068.0,1,9,512.45,3,Occasional,0
3073.0,42,1,166.97,1,New,0
3076.0,48,1,54.58,1,New,0
3103.0,13,1,37.08,1,New,0
3108.0,84,1,228.54,0,Lost,1
3118.0,115,1,10.93,0,Lost,1
3125.0,49,1,103.86,1,New,0
3126.0,27,1,60.11,1,New,0
3135.0,7,1,87.35,1,New,0
3141.0,30,1,9.26,1,New,0
3142.0,20,1,26.25,1,New,0
3157.0,46,1,71.03999999999999,1,New,0
3171.0,29,2,77.50999999999999,1,New,0
3172.0,111,1,7.66,0,Lost,1
3180.0,55,1,7.63,1,New,0
3181.0,68,1,50.25,0,Lost,1
3184.0,37,2,166.0,1,New,0
3186.0,15,1,71.55,1,New,0
3189.0,50,1,0.0,1,New,0
3190.0,37,1,13.12,1,New,0
3200.0,114,1,32.75,0,Lost,1
3211.0,90,1,158.38,0,Lost,1
3214.0,5,2,68.77,1,New,0
3215.0,83,1,144.21,0,Lost,1
3226.0,36,1,58.96,1,New,0
3229.0,96,1,18.54,0,Lost,1
3230.0,7,1,320.03,1,New,0
3236.0,37,2,55.71,1,New,0
3238.0,45,1,6.52,1,New,0
3240.0,22,1,33.54,1,New,0
3241.0,34,1,211.9,1,New,0
3245.0,108,1,18.01,0,Lost,1
3256.0,97,1,72.13,0,Lost,1
3262.0,72,1,4.38,0,Lost,1
3265.0,44,1,93.92,1,New,0
3267.0,61,1,109.22,0,Lost,1
3268.0,105,1,123.37,0,Lost,1
3277.0,78,1,84.17,0,Lost,1
3288.0,16,1,79.74,1,New,0
3292.0,27,1,42.63,1,New,0
3293.0,36,2,147.54,1,New,0
3294.0,4,2,134.37,1,New,0
3298.0,107,1,76.46,0,Lost,1
3309.0,73,1,132.21,0,Lost,1
3310.0,68,1,24.08,0,Lost,1
3311.0,42,1,97.28999999999999,1,New,0
3328.0,83,1,186.87,0,Lost,1
3333.0,21,1,314.58,1,New,0
3334.0,17,7,319.08,3,Occasional,0
3352.0,103,1,28.38,0,Lost,1
3360.0,81,1,41.489999999999995,0,Lost,1
3361.0,28,1,21.84,1,New,0
3365.0,41,2,94.13,1,New,0
3377.0,35,2,30.57,1,New,0
3384.0,12,1,52.5,1,New,0
3388.0,42,1,45.82,1,New,0
3391.0,95,1,74.27,0,Lost,1
3395.0,20,1,58.89,1,New,0
3400.0,46,2,134.2,1,New,0
3433.0,90,1,289.38,0,Lost,1
3437.0,46,1,10.92,1,New,0
3454.0,26,1,82.95,1,New,0
3470.0,30,1,66.64999999999999,1,New,0
3472.0,12,1,105.0,1,New,0
3476.0,96,1,87.5,0,Lost,1
3477.0,113,1,46.949999999999996,0,Lost,1
3479.0,61,1,92.86,0,Lost,1
3485.0,54,1,117.9,1,New,0
3494.0,34,1,128.96,1,New,0
3501.0,104,1,30.64,0,Lost,1
3514.0,91,1,108.21000000000001,0,Lost,1
3518.0,72,1,140.92,0,Lost,1
3527.0,110,1,53.480000000000004,0,Lost,1
3536.0,115,1,21.27,0,Lost,1
3546.0,64,3,406.21999999999997,3,Occasional,0
3557.0,3,1,15.32,1,New,0
3560.0,78,1,114.65,0,Lost,1
3563.0,54,1,26.25,1,New,0
3566.0,4,1,48.04,1,New,0
3568.0,40,1,112.63,1,New,0
3570.0,91,1,25.1,0,Lost,1
3571.0,47,1,152.94,1,New,0
3572.0,35,1,30.64,1,New,0
3574.0,20,1,258.86,1,New,0
3578.0,35,1,30.63,1,New,0
3582.0,13,1,120.15,1,New,0
3585.0,5,1,46.989999999999995,1,New,0
3594.0,36,1,75.42999999999999,1,New,0
3597.0,21,1,216.22,1,New,0
3598.0,80,1,43.75,0,Lost,1
3599.0,8,1,70.96,1,New,0
3605.0,42,1,86.31,1,New,0
3608.0,16,1,94.99,1,New,0
3610.0,90,2,142.02,0,Lost,1
3611.0,26,1,59.07,1,New,0
3615.0,61,1,37.18,0,Lost,1
3618.0,102,1,60.03,0,Lost,1
3621.0,89,1,173.66,0,Lost,1
3626.0,5,1,100.47999999999999,1,New,0
3629.0,14,2,116.83,1,New,0
3633.0,13,1,83.0,1,New,0
3634.0,43,1,0.0,1,New,0
3636.0,41,2,66.87,1,New,0
3640.0,41,1,284.98,1,New,0
3643.0,41,1,30.53,1,New,0
3651.0,5,1,39.26,1,New,0
3671.0,105,1,65.64,0,Lost,1
3682.0,27,12,636.84,3,Occasional,0
3686.0,62,1,44.79,0,Lost,1
3695.0,23,1,122.35,1,New,0
3698.0,69,1,334.09,0,Lost,1
3706.0,112,1,96.08,0,Lost,1
3708.0,13,1,107.02,1,New,0
3712.0,115,1,16.41,0,Lost,1
3715.0,16,2,101.63,1,New,0
3719.0,103,1,113.53999999999999,0,Lost,1
3724.0,14,1,29.49,1,New,0
3736.0,79,1,49.230000000000004,0,Lost,1
3737.0,40,2,205.47,1,New,0
3740.0,95,1,258.7,0,Lost,1
3744.0,27,1,76.41,1,New,0
3752.0,65,1,0.0,0,Lost,1
3754.0,19,1,21.82,1,New,0
3764.0,40,1,52.5,1,New,0
3765.0,57,1,40.41,1,New,0
3772.0,12,10,549.28,3,Occasional,0
