Last 4 Card Digits,Recency,Frequency,Monetary,Cluster,Segment,Churn
5438.0,105,1,44.79,0,Lost,1
5440.0,40,1,66.57,1,New,0
5447.0,97,1,26.25,0,Lost,1
5449.0,90,2,763.87,3,Occasional,0
5465.0,27,1,41.57,1,New,0
5466.0,7,3,127.78999999999999,1,New,0
5471.0,33,1,91.72,1,New,0
5474.0,48,1,52.5,1,New,0
5481.0,47,2,281.81,1,New,0
5483.0,105,1,158.45,0,Lost,1
5486.0,97,1,176.88,0,Lost,1
5488.0,20,1,49.11,1,New,0
5490.0,54,1,227.0,1,New,0
5502.0,8,1,110.33,1,New,0
5503.0,47,1,96.08,1,New,0
5504.0,8,2,289.27,1,New,0
5507.0,6,1,78.65,1,New,0
5523.0,97,1,134.26,0,Lost,1
5533.0,56,1,46.980000000000004,1,New,0
5540.0,64,1,77.49,0,Lost,1
5549.0,19,1,30.64,1,New,0
5550.0,47,1,70.92,1,New,0
5552.0,107,1,64.42,0,Lost,1
5555.0,29,1,143.10999999999999,1,New,0
5561.0,89,1,218.45999999999998,0,Lost,1
5564.0,41,1,0.0,1,New,0
