Last 4 Card Digits,Recency,Frequency,Monetary,Unique_Items,Avg_Order_Val,Avg_Tip,Discount_Used,Visits_Nov,Visits_Dec,Visits_Jan,Days_Since_First,Segment,Segment_Code,Churn,Churn_Probability,Risk_Level,Tier
8294.0,59,1,76.47999999999999,4,15.295999999999998,7.85,0,0,5,0,59,Lost,3,1,0.92,High,Rule-Based
8301.0,61,1,137.57999999999998,3,22.929999999999996,12.38,0,0,6,0,61,Lost,3,1,0.92,High,Rule-Based
8318.0,74,1,145.26,9,16.14,10.0,0,9,0,0,74,Lost,3,1,0.92,High,Rule-Based
8330.0,24,1,51.36,2,25.68,4.0,0,0,0,2,24,New,1,1,0.65,Medium,Rule-Based
8335.0,55,1,37.16,2,9.29,5.0,0,0,4,0,55,Lost,3,1,0.92,High,Rule-Based
8342.0,40,1,109.38,5,21.875999999999998,1.97,0,0,5,0,40,Lost,3,1,0.92,High,Rule-Based
8351.0,60,1,271.82,11,19.415714285714284,0.0,0,0,14,0,60,Lost,3,1,0.92,High,Rule-Based
8364.0,75,1,85.17999999999999,6,14.196666666666665,7.0,0,6,0,0,75,Lost,3,1,0.92,High,Rule-Based
8377.0,56,1,299.12,6,14.956,31.889999999999997,0,0,20,0,56,Lost,3,1,0.92,High,Rule-Based
8381.0,10,1,29.49,1,29.49,0.0,0,0,0,1,10,New,1,1,0.3,Low,Rule-Based
8383.0,36,1,60.06999999999999,4,15.017499999999998,6.56,0,0,4,0,36,Lost,3,1,0.92,High,Rule-Based
8394.0,46,1,119.12,5,23.824,7.94,0,0,5,0,46,New,1,0,0.92,High,Rule-Based
8395.0,17,1,43.7,3,14.566666666666668,8.74,0,0,0,3,17,New,1,1,0.65,Medium,Rule-Based
8406.0,61,1,408.34,12,20.416999999999998,0.0,0,0,20,0,61,Lost,3,1,0.92,High,Rule-Based
8407.0,59,1,109.16,5,21.832,6.0,0,0,5,0,59,Lost,3,1,0.92,High,Rule-Based
8411.0,48,1,82.95,5,16.59,12.0,0,0,5,0,48,Lost,3,1,0.92,High,Rule-Based
8413.0,26,1,279.69,8,23.3075,17.29,0,0,0,12,26,New,1,1,0.65,Medium,Rule-Based
8422.0,7,1,55.61,3,18.536666666666665,2.84,0,0,0,3,7,New,1,1,0.3,Low,Rule-Based
8423.0,46,1,173.82,8,19.313333333333333,0.0,0,0,9,0,46,Lost,3,1,0.92,High,Rule-Based
8428.0,60,1,126.72,6,21.12,6.330000000000001,0,0,6,0,60,Lost,3,1,0.92,High,Rule-Based
8434.0,85,1,14.16,1,14.16,0.0,0,1,0,0,85,Lost,3,1,0.92,High,Rule-Based
8453.0,72,1,52.5,2,26.25,0.0,0,2,0,0,72,Lost,3,1,0.92,High,Rule-Based
8460.0,11,1,117.92999999999999,6,16.847142857142856,0.0,0,0,0,7,11,New,1,1,0.3,Low,Rule-Based
8466.0,31,1,17.45,2,8.725,0.0,2,0,2,0,31,Lost,3,1,0.92,High,Rule-Based
8480.0,17,1,26.25,1,26.25,1.75,0,0,0,1,17,New,1,1,0.65,Medium,Rule-Based
8481.0,80,1,108.24,2,54.12,19.48,0,2,0,0,80,Lost,3,1,0.92,High,Rule-Based
8484.0,82,1,28.439999999999998,2,14.219999999999999,6.26,0,2,0,0,82,Lost,3,1,0.92,High,Rule-Based
8486.0,46,1,52.39,4,13.0975,6.0,0,0,4,0,46,New,1,0,0.92,High,Rule-Based
8490.0,68,1,52.5,2,26.25,5.0,0,2,0,0,68,Lost,3,1,0.92,High,Rule-Based
8492.0,71,1,111.36,6,18.56,20.04,0,6,0,0,71,Lost,3,1,0.92,High,Rule-Based
